Customer_ID,Tenure_Months,Monthly_Spend,Avg_Data_Usage_GB,Usage_Hours,Complaints_Last_6M,Payment_Delay_Days,Support_Calls,Contract_Type,Plan_Type,Auto_Pay,Discount_Received_%,Internet_Speed_Mbps,Region,Churn
1,52,958.66,14.6,101.1,1,5.8,3,2-Year,Standard,1,20,100,South,0
2,15,963.19,11.08,104.1,0,1.7,1,Monthly,Basic,1,0,200,West,0
3,61,1311.6,22.14,111.2,2,0.6,0,Annual,Standard,0,5,100,West,0
4,21,648.23,22.03,76.3,2,0.6,3,Annual,Basic,1,5,50,South,0
5,24,735.69,18.35,135.8,2,4.4,2,Annual,Standard,1,0,100,West,1
6,3,665.66,14.04,66.4,1,0.9,1,Monthly,Premium,0,20,200,West,0
7,22,482.56,15.01,87.9,2,4.4,1,Annual,Standard,1,0,50,South,0
8,53,1341.17,7.34,115.7,2,0.7,4,2-Year,Standard,0,0,25,West,0
9,2,589.62,21.68,84.7,2,1.2,1,Annual,Standard,1,0,25,North,0
10,30,695.92,21.47,123.3,0,1.9,2,Monthly,Basic,1,10,25,North,0
11,38,1228.94,7.13,141.3,1,8.6,2,Monthly,Basic,1,5,100,North,0
12,2,461.72,20.21,130.4,0,8.1,1,Monthly,Premium,1,10,25,West,0
13,64,1089.09,17.42,41.9,3,0.7,4,Monthly,Standard,1,0,25,North,0
14,60,546.74,8.87,103.8,0,1.3,1,Monthly,Basic,0,0,25,East,0
15,21,1211.67,7.76,130.9,0,0.5,0,2-Year,Basic,1,15,50,North,0
16,33,357.53,17.24,60.5,2,2.1,2,Annual,Standard,1,0,50,East,0
17,58,461.63,12.61,121.7,0,1.9,0,Annual,Standard,1,15,100,West,0
18,22,763.77,25.92,120.0,1,6.9,3,Annual,Premium,1,0,25,North,0
19,49,1142.96,20.72,63.6,1,8.0,0,Monthly,Basic,0,15,25,East,0
20,59,892.26,17.84,125.0,1,1.5,5,2-Year,Premium,1,0,50,West,0
21,42,816.07,18.14,108.2,0,2.0,3,Monthly,Standard,0,10,50,North,0
22,60,1236.51,22.99,119.5,1,6.8,1,Monthly,Standard,0,0,25,South,1
23,15,1438.81,20.08,71.0,0,4.9,2,Monthly,Standard,1,0,25,North,0
24,62,1068.06,18.0,104.5,0,0.0,2,2-Year,Basic,0,0,200,North,0
25,62,744.29,9.12,48.9,0,1.2,2,2-Year,Premium,0,0,100,North,0
26,47,795.46,33.37,31.7,2,1.6,1,Monthly,Basic,1,0,25,South,1
27,62,577.89,8.38,104.2,1,0.8,4,2-Year,Basic,0,5,25,East,0
28,51,925.2,13.12,133.0,3,0.7,1,Monthly,Premium,0,5,200,East,0
29,55,492.6,5.07,107.6,3,0.1,4,Monthly,Standard,0,10,100,South,0
30,64,1037.97,18.23,98.1,2,3.1,0,2-Year,Premium,0,10,50,North,0
31,3,1401.39,15.91,94.4,3,0.9,2,2-Year,Standard,1,10,100,North,0
32,51,1079.4,19.59,71.7,1,0.2,2,Annual,Basic,1,5,100,North,0
33,7,782.71,4.57,93.3,0,0.8,1,Annual,Premium,1,5,100,East,0
34,21,1031.73,21.68,112.7,1,4.9,4,2-Year,Basic,1,5,50,East,0
35,39,1305.13,10.16,86.9,1,5.7,2,Annual,Premium,0,15,50,South,0
36,18,1292.62,14.11,122.5,1,2.0,4,2-Year,Basic,0,0,25,West,0
37,4,649.06,20.59,105.9,1,1.6,2,Annual,Premium,0,0,200,South,0
38,60,1027.57,16.57,109.5,0,11.4,3,2-Year,Basic,1,10,100,East,0
39,14,860.47,16.99,126.7,0,0.7,3,2-Year,Standard,1,0,25,North,0
40,9,1101.65,19.8,84.2,0,0.7,1,Monthly,Premium,1,15,200,North,0
41,53,995.9,17.57,119.8,1,1.0,0,2-Year,Standard,0,15,200,North,0
42,2,307.57,12.95,88.4,1,0.6,1,Monthly,Standard,0,0,200,North,1
43,60,813.0,14.0,110.2,3,1.4,2,Monthly,Premium,1,0,200,West,0
44,71,949.64,16.27,80.6,0,7.3,2,Annual,Standard,0,5,200,South,0
45,44,541.41,9.63,72.7,1,2.9,4,Monthly,Premium,1,10,25,South,0
