customer_id,age,gender,country,avg_order_value,total_orders,last_purchase,is_fraudulent,preferred_category,email_open_rate,customer_since,loyalty_score,churn_risk,avg_order_value_clean,email_open_rate_clean,customer_record_count,estimated_customer_value,recency_segment,churn_risk_segment,age_group,customer_tenure_days,loyalty_segment,fraud_status,customer_value_segment,customer_priority,data_quality_flag,customer_since_sql,customer_tenure_days_sql
CUST_8270,30,Female,Brazil,101.08,8,176,1,Beauty,25.6,05-06-2024,50,0.2,101.08,25.6,1,808.64,Inactive,Medium Risk,25-34,23-03-1902,Medium Loyalty,Fraudulent,Low Value,Stable,Check Data,2024-06-05,1902-03-23
CUST_1860,53,Female,USA,90.39,10,88,0,Electronics,12.3,19-02-2024,37,0.34,90.39,12.3,1,903.9,At Risk,Medium Risk,45-54,08-07-1902,Low Loyalty,Legitimate,Low Value,Stable,Check Data,2024-02-19,1902-07-08
CUST_6390,73,Male,Australia,83.28,6,203,0,Sports,,16-04-2024,65,0.05,83.28,250,2,499.68,Inactive,Low Risk,55+,12-05-1902,Medium Loyalty,Legitimate,Low Value,Stable,Check Data,2024-04-16,1902-05-12
CUST_6191,30,Other,Japan,109.9,9,346,1,Electronics,42.9,08-07-2020,93,0.19,109.9,42.9,1,989.1,Inactive,Low Risk,25-34,18-02-1906,High Loyalty,Fraudulent,Low Value,Stable,Check Data,2020-07-08,1906-02-18
CUST_6734,29,Female,Canada,269.38,16,342,0,Fashion,5.3,09-04-2025,79,0.15,269.38,5.3,1,4310.08,Inactive,Low Risk,25-34,19-05-1901,High Loyalty,Legitimate,High Value,High Value - Maintain,Check Data,2025-04-09,1901-05-19
CUST_7265,54,Male,Canada,114.31,11,210,0,Beauty,56.5,02-10-2021,44,0.21,114.31,56.5,2,1257.41,Inactive,Medium Risk,45-54,24-11-1904,Medium Loyalty,Legitimate,Low Value,Stable,Check Data,2021-10-02,1904-11-24
CUST_1466,27,Female,Canada,34.03,7,212,0,Electronics,0.2,19-12-2021,60,0.39,34.03,0.2,1,238.21,Inactive,Medium Risk,25-34,07-09-1904,Medium Loyalty,Legitimate,Low Value,Stable,Valid,2021-12-19,1904-09-07
CUST_5426,77,Female,Brazil,171.25,9,20,0,Electronics,15.1,09-02-2021,29,0.24,171.25,15.1,3,1541.25,Active,Medium Risk,55+,17-07-1905,Low Loyalty,Legitimate,High Value,High Value - Maintain,Check Data,2021-02-09,1905-07-17
CUST_6578,73,Female,Australia,116.79,10,87,0,Sports,14.7,02-09-2020,85,0.37,116.79,14.7,2,1167.9,At Risk,Medium Risk,55+,24-12-1905,High Loyalty,Legitimate,Low Value,Stable,Check Data,2020-09-02,1905-12-24
CUST_9322,26,Male,France,55.93,4,12,0,Fashion,68.8,25-02-2024,63,0.52,55.93,68.8,1,223.72,Active,High Risk,25-34,02-07-1902,Medium Loyalty,Legitimate,Low Value,At Risk - Develop,Check Data,2024-02-25,1902-07-02
